 group  cases  capacity_speedup_median_inclprep  capacity_speedup_bootstrap_ci_low  capacity_speedup_bootstrap_ci_high  direct_speedup_median  capacity_pair_reduction_median  capacity_front_reduction_median  bound_preprocess_us_median  nonoptimal_incumbents
   all    240                         14.407043                          12.621284                           16.002643               2.941473                        0.732394                         0.739936                      1.5665                    131
  knn3    120                         21.509844                          19.923728                           25.064156               3.191482                        0.812845                         0.841053                      1.5540                     39
random    120                          6.419256                           5.366254                            7.404440               2.792865                        0.515631                         0.500000                      1.5940                     92

Group summary:
            inst  ptype  cases  ub_only_ms  direct_ms  capacity_decoder_ms  bound_preprocess_us  capacity_total_ms  direct_speedup_vs_ub  capacity_speedup_vs_ub_inclprep  capacity_pair_reduction_vs_ub  baseline_max_front  capacity_max_front  nonoptimal_incumbents  median_incumbent_gap_pct
E-n29-k4-s7.evrp   knn3     20      1.4535     0.4415               0.0865               0.8570           0.087499              3.602256                        17.472645                       0.786994                17.0                 4.0                      4                  0.000000
E-n29-k4-s7.evrp random     20      0.9255     0.1990               0.1035               0.8380           0.104350              4.933848                         9.673979                       0.655328                13.0                 5.0                     15                  0.048224
E-n30-k3-s7.evrp   knn3     20      2.1720     0.2070               0.0990               1.2725           0.100263              9.792581                        21.093103                       0.768705                20.0                 4.0                      6                  0.000000
E-n30-k3-s7.evrp random     20      1.2505     0.2660               0.1570               1.2610           0.158267              4.319299                         7.643666                       0.573653                14.0                 6.0                     17                  0.228690
E-n35-k3-s5.evrp   knn3     20      2.0535     0.5735               0.0840               1.5455           0.085488              3.561506                        22.422404                       0.847740                30.0                 4.0                     13                  0.035618
E-n35-k3-s5.evrp random     20      0.8290     0.3735               0.3510               1.4685           0.352551              2.448907                         2.585301                       0.275932                14.5                 9.0                     20                  0.546922
E-n37-k4-s4.evrp   knn3     20      1.7915     1.6515               0.0495               1.5495           0.051016              1.035560                        35.146243                       0.917519                30.0                 2.0                      1                  0.000000
E-n37-k4-s4.evrp random     20      1.1080     0.7925               0.0635               1.6320           0.065132              1.335389                        16.473663                       0.847723                25.0                 4.0                      1                  0.000000
E-n60-k5-s9.evrp   knn3     20     12.6895     5.8725               0.7235               2.7705           0.726225              2.212836                        18.493930                       0.739009                32.5                 8.5                     10                  0.007948
E-n60-k5-s9.evrp random     20      5.9510     1.9615               0.9800               2.7390           0.982696              3.017351                         5.608034                       0.456829                21.0                12.5                     19                  0.039905
F-n49-k4-s4.evrp   knn3     20      2.6225     0.6520               0.0990               2.7965           0.101752              3.710840                        24.425978                       0.861999                40.0                 4.0                      5                  0.000000
F-n49-k4-s4.evrp random     20      0.9895     0.4045               0.2440               2.7605           0.246817              2.592966                         4.424297                       0.436259                18.5                10.5                     20                  0.249017
