inst,ptype,rep,n,boundprep_ns
E-n29-k4-s7.evrp,knn3,0,21,870
E-n29-k4-s7.evrp,knn3,1,21,838
E-n29-k4-s7.evrp,knn3,2,21,898
E-n29-k4-s7.evrp,knn3,3,21,1169
E-n29-k4-s7.evrp,knn3,4,21,809
E-n29-k4-s7.evrp,knn3,5,21,842
E-n29-k4-s7.evrp,knn3,6,21,858
E-n29-k4-s7.evrp,knn3,7,21,874
E-n29-k4-s7.evrp,knn3,8,21,1028
E-n29-k4-s7.evrp,knn3,9,21,927
E-n29-k4-s7.evrp,knn3,10,21,801
E-n29-k4-s7.evrp,knn3,11,21,830
E-n29-k4-s7.evrp,knn3,12,21,1065
E-n29-k4-s7.evrp,knn3,13,21,834
E-n29-k4-s7.evrp,knn3,14,21,835
E-n29-k4-s7.evrp,knn3,15,21,812
E-n29-k4-s7.evrp,knn3,16,21,965
E-n29-k4-s7.evrp,knn3,17,21,856
E-n29-k4-s7.evrp,knn3,18,21,835
E-n29-k4-s7.evrp,knn3,19,21,1006
E-n29-k4-s7.evrp,random,0,21,832
E-n29-k4-s7.evrp,random,1,21,925
E-n29-k4-s7.evrp,random,2,21,801
E-n29-k4-s7.evrp,random,3,21,825
E-n29-k4-s7.evrp,random,4,21,1000
E-n29-k4-s7.evrp,random,5,21,837
E-n29-k4-s7.evrp,random,6,21,844
E-n29-k4-s7.evrp,random,7,21,1116
E-n29-k4-s7.evrp,random,8,21,807
E-n29-k4-s7.evrp,random,9,21,874
E-n29-k4-s7.evrp,random,10,21,813
E-n29-k4-s7.evrp,random,11,21,848
E-n29-k4-s7.evrp,random,12,21,1139
E-n29-k4-s7.evrp,random,13,21,829
E-n29-k4-s7.evrp,random,14,21,828
E-n29-k4-s7.evrp,random,15,21,839
E-n29-k4-s7.evrp,random,16,21,1067
E-n29-k4-s7.evrp,random,17,21,870
E-n29-k4-s7.evrp,random,18,21,837
E-n29-k4-s7.evrp,random,19,21,832
E-n30-k3-s7.evrp,knn3,0,22,1528
E-n30-k3-s7.evrp,knn3,1,22,1131
