inst,ptype,cases,ub_only_ms,direct_ms,capacity_decoder_ms,bound_preprocess_us,capacity_total_ms,direct_speedup_vs_ub,capacity_speedup_vs_ub_inclprep,capacity_pair_reduction_vs_ub,baseline_max_front,capacity_max_front,nonoptimal_incumbents,median_incumbent_gap_pct
E-n29-k4-s7.evrp,knn3,20,1.4535,0.4415,0.0865,0.857,0.0874995,3.6022560307230647,17.472645169769297,0.786993970714901,17.0,4.0,4,0.0
E-n29-k4-s7.evrp,random,20,0.9255,0.199,0.1035,0.838,0.10434950000000001,4.933847866642594,9.673978980374477,0.6553282961260845,13.0,5.0,15,0.048224414228559276
E-n30-k3-s7.evrp,knn3,20,2.172,0.207,0.099,1.2725,0.100263,9.792581272575715,21.093102725915255,0.7687046638181467,20.0,4.0,6,0.0
E-n30-k3-s7.evrp,random,20,1.2505,0.266,0.157,1.2610000000000001,0.15826749999999998,4.319299163179917,7.643665651270235,0.5736533928544618,14.0,6.0,17,0.22869005899013306
E-n35-k3-s5.evrp,knn3,20,2.0535,0.5735,0.084,1.5455,0.085488,3.561506359300477,22.42240443023148,0.8477395907413992,30.0,4.0,13,0.03561838473808976
E-n35-k3-s5.evrp,random,20,0.829,0.3735,0.351,1.4685000000000001,0.352551,2.4489068209770037,2.5853009151519517,0.2759317687411955,14.5,9.0,20,0.546921888047236
E-n37-k4-s4.evrp,knn3,20,1.7915,1.6515,0.0495,1.5495,0.05101649999999999,1.0355598528187362,35.146242500978744,0.9175188647706378,30.0,2.0,1,0.0
E-n37-k4-s4.evrp,random,20,1.108,0.7925,0.0635,1.6320000000000001,0.06513150000000001,1.3353887134964482,16.473663389202365,0.8477232928243087,25.0,4.0,1,0.0
E-n60-k5-s9.evrp,knn3,20,12.6895,5.8725,0.7235,2.7705,0.7262245,2.2128359294793736,18.493930287684545,0.7390090476144817,32.5,8.5,10,0.007948250773426313
E-n60-k5-s9.evrp,random,20,5.951,1.9615,0.98,2.739,0.9826955,3.017350534890184,5.608034159844399,0.4568288841599596,21.0,12.5,19,0.03990467384422658
F-n49-k4-s4.evrp,knn3,20,2.6225,0.652,0.099,2.7965,0.1017525,3.710840060955462,24.425977566124956,0.8619986496616707,40.0,4.0,5,0.0
F-n49-k4-s4.evrp,random,20,0.9895,0.4045,0.244,2.7605,0.246817,2.59296603337705,4.424296737837988,0.43625895683083726,18.5,10.5,20,0.24901749562954434
