inst,ptype,rep,n,m,cargo_lb,init_ub,opt,base_us,ub_us,direct_us,cap_us,base_pairs,ub_pairs,direct_pairs,cap_pairs,base_popped,cap_popped,cap_pruned,maxfront_base,maxfront_cap,ub_feasible
E-n29-k4-s7.evrp,knn3,0,21,7,557.603,558.242,558.242,2439,1885,462,65,9024,9024,5752,1720,161,33,2919,18,3,1
E-n29-k4-s7.evrp,knn3,1,21,7,519.526,521.486,521.486,1800,1072,206,51,8016,7736,3368,1280,146,28,2323,14,2,1
E-n29-k4-s7.evrp,knn3,2,21,7,594.219,600.044,600.044,1328,1359,438,119,8312,8312,6024,2136,151,41,4032,16,4,1
E-n29-k4-s7.evrp,knn3,3,21,7,544.069,550.313,550.313,1641,1575,329,86,9720,9720,5848,2016,180,46,3727,17,5,1
E-n29-k4-s7.evrp,knn3,4,21,7,603.696,609.19,609.19,1718,1342,520,96,8736,8736,6872,2376,160,49,4411,16,5,1
E-n29-k4-s7.evrp,knn3,5,21,7,592.035,595.325,595.325,2112,2031,362,58,9440,9440,5896,1392,168,28,2607,20,2,1
E-n29-k4-s7.evrp,knn3,6,21,7,516.088,516.993,516.993,1741,1522,559,44,10384,10256,8152,1176,185,22,2249,17,2,1
E-n29-k4-s7.evrp,knn3,7,21,7,530.787,538.046,531.32,1953,1832,456,126,9520,9520,7904,3400,166,61,5644,17,7,1
E-n29-k4-s7.evrp,knn3,8,21,7,614.259,614.801,614.801,1438,1187,214,42,8112,8000,4504,1072,146,23,2018,14,2,1
E-n29-k4-s7.evrp,knn3,9,21,7,609.259,616.261,615.089,1668,1805,451,111,10064,10064,7464,2920,183,58,5042,17,4,1
E-n29-k4-s7.evrp,knn3,10,21,7,497.411,504.752,504.752,1884,1128,619,100,10552,10424,8568,2520,195,53,3466,20,4,1
E-n29-k4-s7.evrp,knn3,11,21,7,560.392,563.479,563.479,1475,1385,419,87,8912,8912,6168,1664,162,33,2957,17,4,1
E-n29-k4-s7.evrp,knn3,12,21,7,673.298,679.758,679.758,1282,1197,307,105,7968,7968,6008,2672,146,51,4907,14,5,1
E-n29-k4-s7.evrp,knn3,13,21,7,603.132,607.752,604.123,1596,1533,361,90,9096,9096,6072,2200,158,41,3545,16,5,1
E-n29-k4-s7.evrp,knn3,14,21,7,560.937,562.732,562.138,1379,1365,472,89,8600,8600,6264,1880,156,37,3216,15,4,1
E-n29-k4-s7.evrp,knn3,15,21,7,578.756,581.854,581.854,1691,1630,686,81,9856,9688,8544,2120,178,42,3869,15,4,1
